sep=,
Bridge name,Condition,Length (m),Width (m),Findings on concrete,Google maps url,Beheerder contact,Beheerder Vlaamse overheid,Tags
Drongenbrug Wegbrug W4,toestand 5: zeer slecht,149.6,33.7,95,"https://www.google.com/maps/@51.0532189311,3.6724882443,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Goedingebrug / brug 12 over de Leie,toestand 5: zeer slecht,105.7,25.5,51,"https://www.google.com/maps/@51.0322724592,3.6454131625,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Maaltebrug Wegbrug W7,toestand 5: zeer slecht,104,20.24,67,"https://www.google.com/maps/@51.0238426744,3.7037980217,250m",De Vlaamse Waterweg - regio West: Lieve De Porre,De Vlaamse Waterweg nv - Afdeling Regio West,""
Brug 5 Arendonk,toestand 5: zeer slecht,86.9,12,35,"https://www.google.com/maps/@51.3389695493,5.1047200579,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Antwerpen,""
Langebrug Nieuwpoort,toestand 5: zeer slecht,80,29.6,14,"https://www.google.com/maps/@51.1349256824,2.7548332293,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,"Not feasible;Inspected;dredfghdh"
Meierijbrug + Sint-Lievensviaduct naar Gent Centrum,toestand 4: slecht,2390,20.3,488,"https://www.google.com/maps/@51.0349834328,3.738697867,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Viaduct van Halle RV13/Viaduct A7,toestand 4: slecht,407.59,19.4,9,"https://www.google.com/maps/@50.72557533,4.2285946407,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Vlaams-Brabant,""
Oprit O1 + O2 naar het viaduct over de Oude- en de Nieuwe Leie,toestand 4: slecht,291.96,13,240,"https://www.google.com/maps/@50.840548437,3.2836423773,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer West-Vlaanderen,""
Keizerviaduct Visserijkomviaduct,toestand 4: slecht,285,15.1,62,"https://www.google.com/maps/@51.0425697795,3.7402641948,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
Moscouviaduct Scheldeviaduct 78/O in A14/E17,toestand 4: slecht,282,60,555,"https://www.google.com/maps/@51.0294817193,3.7454147804,250m",Agentschap Wegen en verkeer: Thomas Plumet,Agentschap Wegen en Verkeer - Afdeling Wegen en Verkeer Oost-Vlaanderen,""
